kode_prov,kode_bps_2010,kode_bps_2014_x,kode_bps_2019,name_prov,name_kab_2014,name_kab_2019,dapil_2019,dapil 2014,change_14_19,name_kab_2010,Islam,Kristen,Katolik,Hindu,Budha,Khong Hu Chu,Lainnya,Tidak Terjawab,Tidak Ditanyakan,Jumlah
15,1503,1503,1503,Jambi,Sarolangun,Sarolangun,Jambi-at-large,Jambi-at-large,No Change,Sarolangun,238093,5569,694,14,223,16,128,5,1503,246245
15,1504,1504,1504,Jambi,Batanghari,Batanghari,Jambi-at-large,Jambi-at-large,No Change,Batang Hari,236286,4077,393,19,221,35,0,1,302,241334
15,1505,1505,1505,Jambi,Muaro Jambi,Muaro Jambi,Jambi-at-large,Jambi-at-large,No Change,Muaro Jambi,326275,11949,1118,150,996,184,2,25,2253,342952
15,1506,1506,1506,Jambi,Tanjung Jabung Timur,Tanjung Jabung Timur,Jambi-at-large,Jambi-at-large,No Change,Tanjung Jabung Timur,201993,1987,272,4,248,27,4,0,737,205272
15,1507,1507,1507,Jambi,Tanjung Jabung Barat,Tanjung Jabung Barat,Jambi-at-large,Jambi-at-large,No Change,Tanjung Jabung Barat,262756,11634,1018,39,1533,145,1,63,1552,278741
15,1508,1508,1508,Jambi,Tebo,Tebo,Jambi-at-large,Jambi-at-large,No Change,Tebo,289648,5727,971,100,99,21,129,10,1030,297735
15,1509,1509,1509,Jambi,Bungo,Bungo,Jambi-at-large,Jambi-at-large,No Change,Bungo,294057,4881,1043,17,1121,1,0,27,1988,303135
15,1571,1571,1571,Jambi,Jambi,Jambi,Jambi-at-large,Jambi-at-large,No Change,Kota Jambi,464233,30623,7006,208,25383,1049,7,165,3183,531857
15,1572,1572,1572,Jambi,Sungai Penuh,Sungai Penuh,Jambi-at-large,Jambi-at-large,No Change,Kota Sungai Penuh,81517,484,122,1,110,0,0,4,55,82293
16,1601,1601,1601,Sumatera Selatan,Ogan Komering Ulu,Ogan Komering Ulu,Sumsel-02,Sumsel-02,No Change,Ogan Komering Ulu,314182,2281,3211,2104,822,5,6,62,1372,324045
16,1602,1602,1602,Sumatera Selatan,Ogan Komering Ilir,Ogan Komering Ilir,Sumsel-02,Sumsel-02,No Change,Ogan Komering Ilir,708929,4964,2986,10012,400,11,3,62,9,727376
16,1603,1603,1603,Sumatera Selatan,Muara Enim,Muara Enim,Sumsel-02,Sumsel-02,No Change,Muara Enim,708105,4399,1209,1308,852,5,20,91,687,716676
16,1604,1604,1604,Sumatera Selatan,Lahat,Lahat,Sumsel-02,Sumsel-02,No Change,Lahat,365947,1719,909,27,552,16,0,28,776,369974
16,1605,1605,1605,Sumatera Selatan,Musi Rawas,Musi Rawas,Sumsel-01,Sumsel-01,No Change,Musi Rawas,515632,4601,2661,2051,213,7,7,8,328,525508
16,1606,1606,1606,Sumatera Selatan,Musi Banyuasin,Musi Banyuasin,Sumsel-01,Sumsel-01,No Change,Musi Banyuasin,553352,4118,749,2295,111,17,3,237,576,561458
16,1607,1607,1607,Sumatera Selatan,Banyuasin,Banyuasin,Sumsel-01,Sumsel-01,No Change,Banyu Asin,733626,7362,1607,3631,2274,31,5,51,1523,750110
16,1608,1608,1608,Sumatera Selatan,Ogan Komering Ulu Selatan,Ogan Komering Ulu Selatan,Sumsel-02,Sumsel-02,No Change,Ogan Komering Ulu Selatan,315720,780,138,1288,127,1,4,3,367,318428
16,1609,1609,1609,Sumatera Selatan,Ogan Komering Ulu Timur,Ogan Komering Ulu Timur,Sumsel-02,Sumsel-02,No Change,Ogan Komering Ulu Timur,576229,7056,10012,15495,622,5,13,90,460,609982
16,1610,1610,1610,Sumatera Selatan,Ogan Ilir,Ogan Ilir,Sumsel-02,Sumsel-02,No Change,Ogan Ilir,375393,1595,178,25,401,5,8,24,3275,380904
16,1611,1611,1611,Sumatera Selatan,Empat Lawang,Empat Lawang,Sumsel-02,Sumsel-02,No Change,Empat Lawang,220694,223,50,69,20,0,4,5,111,221176
16,1603,1612,1612,Sumatera Selatan,Penukal Abab Lematang Ilir,Penukal Abab Lematang Ilir,Sumsel-02,Sumsel-02,No Change,Muara Enim,708105,4399,1209,1308,852,5,20,91,687,716676
16,1605,1613,1613,Sumatera Selatan,Musi Rawas Utara,Musi Rawas Utara,Sumsel-01,Sumsel-01,No Change,Musi Rawas,515632,4601,2661,2051,213,7,7,8,328,525508
16,1671,1671,1671,Sumatera Selatan,Palembang,Palembang,Sumsel-01,Sumsel-01,No Change,Kota Palembang,1354586,28724,16884,792,49638,533,57,1242,2828,1455284
16,1672,1672,1672,Sumatera Selatan,Prabumulih,Prabumulih,Sumsel-02,Sumsel-02,No Change,Kota Prabumulih,158038,1505,494,53,1293,12,30,18,541,161984
16,1673,1673,1673,Sumatera Selatan,Pagar Alam,Pagar Alam,Sumsel-02,Sumsel-02,No Change,Kota Pagar Alam,125208,360,238,9,117,4,3,0,242,126181
16,1674,1674,1674,Sumatera Selatan,Lubuk Linggau,Lubuk Linggau,Sumsel-01,Sumsel-01,No Change,Kota Lubuklinggau,193310,2548,1110,47,2213,11,1,7,2061,201308
