kode_prov;kode_bps_2014;kode_bps_2019;name_prov;name_kab_2014;name_kab_2019;dapil_2019;dapil 2014;change_14_19
32;3277;3277;Jawa Barat;Cimahi;Cimahi;Jabar-01;Jabar-01;No Change
32;3278;3278;Jawa Barat;Tasikmalaya;Tasikmalaya;Jabar-11;Jabar-11;No Change
32;3279;3279;Jawa Barat;Banjar;Banjar;Jabar-10;Jabar-10;No Change
33;3301;3301;Jawa Tengah;Cilacap;Cilacap;Jateng-08;Jateng-08;No Change
33;3302;3302;Jawa Tengah;Banyumas;Banyumas;Jateng-08;Jateng-08;No Change
33;3303;3303;Jawa Tengah;Purbalingga;Purbalingga;Jateng-07;Jateng-07;No Change
33;3304;3304;Jawa Tengah;Banjarnegara;Banjarnegara;Jateng-07;Jateng-07;No Change
33;3305;3305;Jawa Tengah;Kebumen;Kebumen;Jateng-07;Jateng-07;No Change
33;3306;3306;Jawa Tengah;Purworejo;Purworejo;Jateng-06;Jateng-06;No Change
33;3307;3307;Jawa Tengah;Wonosobo;Wonosobo;Jateng-06;Jateng-06;No Change
33;3308;3308;Jawa Tengah;Magelang;Magelang;Jateng-06;Jateng-06;No Change
33;3309;3309;Jawa Tengah;Boyolali;Boyolali;Jateng-05;Jateng-05;No Change
33;3310;3310;Jawa Tengah;Klaten;Klaten;Jateng-05;Jateng-05;No Change
33;3311;3311;Jawa Tengah;Sukoharjo;Sukoharjo;Jateng-05;Jateng-05;No Change
33;3312;3312;Jawa Tengah;Wonogiri;Wonogiri;Jateng-04;Jateng-04;No Change
33;3313;3313;Jawa Tengah;Karanganyar;Karanganyar;Jateng-04;Jateng-04;No Change
33;3314;3314;Jawa Tengah;Sragen;Sragen;Jateng-04;Jateng-04;No Change
33;3315;3315;Jawa Tengah;Grobogan;Grobogan;Jateng-03;Jateng-03;No Change
33;3316;3316;Jawa Tengah;Blora;Blora;Jateng-03;Jateng-03;No Change
33;3317;3317;Jawa Tengah;Rembang;Rembang;Jateng-03;Jateng-03;No Change
33;3318;3318;Jawa Tengah;Pati;Pati;Jateng-03;Jateng-03;No Change
33;3319;3319;Jawa Tengah;Kudus;Kudus;Jateng-02;Jateng-02;No Change
33;3320;3320;Jawa Tengah;Jepara;Jepara;Jateng-02;Jateng-02;No Change
33;3321;3321;Jawa Tengah;Demak;Demak;Jateng-02;Jateng-02;No Change
33;3322;3322;Jawa Tengah;Semarang;Semarang;Jateng-01;Jateng-01;No Change
33;3323;3323;Jawa Tengah;Temanggung;Temanggung;Jateng-06;Jateng-06;No Change
33;3324;3324;Jawa Tengah;Kendal;Kendal;Jateng-01;Jateng-01;No Change
33;3325;3325;Jawa Tengah;Batang;Batang;Jateng-10;Jateng-10;No Change
33;3326;3326;Jawa Tengah;Pekalongan;Pekalongan;Jateng-10;Jateng-10;No Change
33;3327;3327;Jawa Tengah;Pemalang;Pemalang;Jateng-10;Jateng-10;No Change
33;3328;3328;Jawa Tengah;Tegal;Tegal;Jateng-09;Jateng-09;No Change
33;3329;3329;Jawa Tengah;Brebes;Brebes;Jateng-09;Jateng-09;No Change
33;3371;3371;Jawa Tengah;Magelang;Magelang;Jateng-06;Jateng-06;No Change
33;3372;3372;Jawa Tengah;Surakarta;Surakarta;Jateng-05;Jateng-05;No Change
33;3373;3373;Jawa Tengah;Salatiga;Salatiga;Jateng-01;Jateng-01;No Change
33;3374;3374;Jawa Tengah;Semarang;Semarang;Jateng-01;Jateng-01;No Change
33;3375;3375;Jawa Tengah;Pekalongan;Pekalongan;Jateng-10;Jateng-10;No Change
33;3376;3376;Jawa Tengah;Tegal;Tegal;Jateng-09;Jateng-09;No Change
34;3401;3401;D I Yogyakarta;Kulon Progo;Kulon Progo;DIY-at-large;DIY-at-large;No Change
34;3402;3402;D I Yogyakarta;Bantul;Bantul;DIY-at-large;DIY-at-large;No Change
34;3403;3403;D I Yogyakarta;Gunung Kidul;Gunung Kidul;DIY-at-large;DIY-at-large;No Change
34;3404;3404;D I Yogyakarta;Sleman;Sleman;DIY-at-large;DIY-at-large;No Change
34;3471;3471;D I Yogyakarta;Yogyakarta;Yogyakarta;DIY-at-large;DIY-at-large;No Change
35;3501;3501;Jawa Timur;Pacitan;Pacitan;Jatim-07;Jatim-07;No Change
35;3502;3502;Jawa Timur;Ponorogo;Ponorogo;Jatim-07;Jatim-07;No Change
35;3503;3503;Jawa Timur;Trenggalek;Trenggalek;Jatim-07;Jatim-07;No Change
35;3504;3504;Jawa Timur;Tulungagung;Tulungagung;Jatim-06;Jatim-06;No Change
35;3505;3505;Jawa Timur;Blitar;Blitar;Jatim-06;Jatim-06;No Change
35;3506;3506;Jawa Timur;Kediri;Kediri;Jatim-06;Jatim-06;No Change
35;3507;3507;Jawa Timur;Malang;Malang;Jatim-05;Jatim-05;No Change
35;3508;3508;Jawa Timur;Lumajang;Lumajang;Jatim-04;Jatim-04;No Change
35;3509;3509;Jawa Timur;Jember;Jember;Jatim-04;Jatim-04;No Change
35;3510;3510;Jawa Timur;Banyuwangi;Banyuwangi;Jatim-03;Jatim-03;No Change
